| hostname | job_id  | fail_time           | category | reason | description                      | text                                                                                                                                  | jf_id   |
| titan    | 2210433 | 2015-01-01 10:05:59 | hardware | system | GPU DBE                          | Node c12-6c1s6n1 GPU DBE on GPU 00 01 00|  716272 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716275 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716278 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716281 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716284 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716287 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716290 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716293 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716296 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716299 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716302 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716305 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716308 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716311 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716314 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716317 |
| titan    | 2210433 | 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|  716320 |
