| hostname | job_id| fail_time           | category | reason | description                      | text     | jf_id   | nodes
| titan    |2594466| 2016-01-01 00:24:57 | software | system | Kernel Panic                     | swapper/14:  Fatal machine check on current CPU|1639611|c24-2c0s1n1
| titan    |2594466| 2016-01-01 00:24:57 | hardware | system | Machine Check Exception          | Node c5-2c0s3n2 Machine Check Exception Bank 0 Status be80001000000135|1639614|c5-2c0s3n2
| titan    |2591516| 2016-01-01 13:27:43 | hardware | system | GPU DBE                          | Node c24-0c2s3n3 GPU DBE on GPU|1639620|c24-0c2s3n3
| titan    |2591516| 2016-01-01 13:27:45 | software | system | GPU XID                          | Node c24-0c2s3n3 GPU Xid 62 PMU communication error|1639623|c24-0c2s3n3
| titan    |2591929| 2016-01-02 00:32:10 | hardware | system | GPU DPR                          | Node c6-7c2s5n1 GPU DPR on Page 00000000000f7830|1639626|c6-7c2s5n1
| titan    |2593815| 2016-01-03 08:57:52 | hardware | system | Machine Check Exception          | Node c4-1c0s4n3 Core 8 Machine Check Exception Bank 4 Status f300000200190127 Addr 0000000000000000 Socket 0|1639632|c4-1c0s4n3
| titan    |2601257| 2016-01-05 12:10:18 | software | system | GPU XID                          | Node c4-1c0s7n1 GPU Xid 13 Graphics Engine Exception|1640397|c4-1c0s7n1
| titan    |2601282| 2016-01-05 12:49:07 | software | system | GPU XID                          | Node c4-1c0s7n1 GPU Xid 13 Graphics Engine Exception|1641945|c4-1c0s7n1
| titan    |2601195| 2016-01-05 13:42:13 | hardware | system | Machine Check Exception          | Node c18-1c2s0n3 Core 0 Machine Check Exception Bank 4 Status fe282000ba080a13 Addr 00000001373f13e0 Socket 0|1643274|c18-1c2s0n3
| titan    |2592320| 2016-01-05 19:44:40 | software | system | GPU BUS                          | Node c22-1c2s2n1 GPU 0000:02:00.0 off the bus|1643283|c22-1c2s2n1
| titan    |2601310| 2016-01-07 00:27:49 | hardware | system | Machine Check Exception          | Node c3-2c2s7n0 Core 0 Machine Check Exception Bank 4 Status fe10200000080a13 Addr 0000000338186330 Socket 0|1643727|c3-2c2s7n0 c21-2c1s2n1
| titan    |2601375| 2016-01-07 10:30:11 | software | system | GPU XID                          | Node c24-4c2s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|1643742|c24-4c2s6n1
| titan    |2601375| 2016-01-07 10:30:11 | hardware | system | GPU DBE                          | Node c24-4c2s6n1 GPU DBE on GPU|1643739|c24-4c2s6n1
| titan    |2601375| 2016-01-07 10:30:13 | hardware | system | GPU DPR                          | Node c24-4c2s6n1 GPU DPR on Page 0000000000064fa5|1643790|c24-4c2s6n1
| titan    |2603248| 2016-01-07 14:44:25 | hardware | system | Machine Check Exception          | Node c16-4c2s6n2 Core 0 Machine Check Exception Bank 4 Status f300000200190127 Addr 0000000000000000 Socket 0|1643814|c16-4c2s6n2
| titan    |2599436| 2016-01-08 16:11:17 | software | system | GPU BUS                          | Node c18-0c0s6n1 GPU 0000:02:00.0 off the bus|1645911|c18-0c0s6n1
| titan    |2604249| 2016-01-08 16:25:10 | software | system | GPU XID                          | Node c8-1c0s4n2 GPU Xid 13 Graphics Engine Exception|1645917|c8-1c0s4n2
| titan    |2604837| 2016-01-09 05:05:44 | hardware | system | Machine Check Exception          | Node c8-1c1s1n3 Core 8 Machine Check Exception Bank 4 Status fe1120006d080813 Addr 0000000756371fc0 Socket 0|1646046|c8-1c1s1n3
| titan    |2599983| 2016-01-09 20:08:48 | software | system | GPU XID                          | Node c19-0c2s7n0 GPU Xid 62 PMU communication error|1646127|c19-0c2s7n0
| titan    |2599983| 2016-01-09 20:08:48 | hardware | system | GPU DBE                          | Node c19-0c2s7n0 GPU DBE on GPU|1646124|c19-0c2s7n0
| titan    |2604454| 2016-01-12 04:40:53 | software | system | Kernel Panic                     | threshold_trigg:  Fatal exception|1646187|c11-6c2s2n2
| titan    |2604454| 2016-01-12 04:40:53 | hardware | system | Machine Check Exception          | Node c11-6c2s2n2 MCE Threshold CPU 8|1646184|c11-6c2s2n2
| titan    |2607373| 2016-01-12 18:34:03 | software | system | GPU XID                          | Node c11-6c2s3n0 GPU Xid 13 Graphics Engine Exception|1646268|c11-6c2s3n0
| titan    |2607380| 2016-01-12 19:03:46 | hardware | system | GPU DPR                          | Node c2-2c2s4n2 GPU DPR on Page 00000000000bf572|1646274|c2-2c2s4n2
| titan    |2607389| 2016-01-12 20:11:59 | software | system | GPU XID                          | Node c11-6c2s3n0 GPU Xid 13 Graphics Engine Exception|1646277|c11-6c2s3n0
| titan    |2607404| 2016-01-12 21:27:52 | software | system | GPU XID                          | Node c18-0c1s6n0 GPU Xid 13 Graphics Engine Exception|1646283|c18-0c1s6n0
| titan    |2607412| 2016-01-12 22:12:10 | software | system | GPU XID                          | Node c11-6c2s3n0 GPU Xid 13 Graphics Engine Exception|1646295|c11-6c2s3n0
| titan    |2606430| 2016-01-13 03:46:56 | software | system | GPU BUS                          | Node c19-2c2s0n1 GPU 0000:02:00.0 off the bus|1646562|c19-2c2s0n1
| titan    |2605926| 2016-01-14 04:13:20 | software | system | GPU XID                          | Node c1-2c1s7n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|1647708|c1-2c1s7n1
| titan    |2605926| 2016-01-14 04:13:20 | hardware | system | GPU DBE                          | Node c1-2c1s7n1 GPU DBE on GPU|1647705|c1-2c1s7n1
| titan    |2608540| 2016-01-14 07:45:27 | hardware | system | GPU DPR                          | Node c13-2c2s0n2 GPU DPR on Page 000000000004311d|1648059|c13-2c2s0n2
| titan    |2608892| 2016-01-15 07:13:25 | software | system | Kernel Panic                     | kthreadd:  cray_oom_kill_task: killing invalid task|1648158|c13-2c2s0n2
| titan    |2608896| 2016-01-15 10:29:40 | software | system | Kernel Panic                     | kthreadd:  cray_oom_kill_task: killing invalid task|1648317|c13-2c2s0n2
| titan    |2607431| 2016-01-15 16:27:17 | software | system | Kernel Panic                     | kthreadd:  cray_oom_kill_task: killing invalid task|1648377|c13-2c2s0n2
| titan    |2608900| 2016-01-15 16:27:17 | software | system | Kernel Panic                     | kthreadd:  cray_oom_kill_task: killing invalid task|1648380|c13-2c2s0n2
| titan    |2610174| 2016-01-15 16:33:43 | software | system | GPU XID                          | Node c8-1c2s1n0 GPU Xid 43 GPU stopped processing|1648389|c8-1c2s1n0
| titan    |2610177| 2016-01-15 16:35:44 | software | system | GPU XID                          | Node c8-1c2s1n3 GPU Xid 43 GPU stopped processing|1648392|c8-1c2s1n3
| titan    |2610190| 2016-01-15 16:47:51 | software | system | GPU XID                          | Node c8-1c0s6n1 GPU Xid 43 GPU stopped processing|1648395|c8-1c0s6n1
| titan    |2610254| 2016-01-15 17:16:25 | software | system | GPU XID                          | Node c8-1c0s6n1 GPU Xid 43 GPU stopped processing|1648398|c8-1c0s6n1
| titan    |2610651| 2016-01-15 18:32:26 | software | system | GPU XID                          | Node c8-1c0s7n1 GPU Xid 43 GPU stopped processing|1648401|c8-1c0s7n1
| titan    |2610720| 2016-01-15 19:17:56 | software | system | GPU XID                          | Node c8-1c0s7n2 GPU Xid 43 GPU stopped processing|1648413|c8-1c0s7n2
| titan    |2593890| 2016-01-16 03:27:44 | software | system | GPU XID                          | Node c14-2c2s0n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|1648725|c14-2c2s0n1
| titan    |2593890| 2016-01-16 03:27:44 | hardware | system | GPU DBE                          | Node c14-2c2s0n1 GPU DBE on GPU|1648752|c14-2c2s0n1
